emoji,count,total_toxicity,mean,most_toxic,most_toxic_text
😳,3,0.743154094,0.24771803133333334,0.5132976,"Pedro Sánchez finaliza su rueda de prensa, basada en críticar al PP, despidiéndose hasta septiembre!!! 😳

Se va de vacaciones, con la que está cayendo, pero el se va de vacaciones. 

Será guapo, pero es un irresponsable."
🧟‍♀️,1,0.2376268,0.2376268,0.2376268,"El 62% d las mujeres en edad fértil querrían tener 1 o 2 hijos y no se lo pueden permitir. 
Las “mujeres sin complejos” de VOX dicen que se debe a la condena dl amor romántico y al aborto. 
Para ellas la precariedad no existe; recomiendan ayudas, ¿paguitas?
Medievales 🧟‍♀️"
🍰,1,0.23329249,0.23329249,0.23329249,"La esencia de los que llevan tiempo blanqueando a quienes niegan la violencia de género, atacan a los menores no acompañados o desprecian sin rubor la Constitución de 1978 es la NADA. Una esencia que mañana será la guinda del 🍰 de la NADA. Nadería y manipulación de una bandera"
🙋‍♀️,2,0.42650095,0.213250475,0.23460932,"👉Los @populares quieren hacernos creer que la corrupción de su partido es el pasado

🙋‍♀️ Hoy les he recordado la sociedad de @Albiol_XG en un paraíso fiscal

🤦‍♀️ Por cierto, Albiol fue nombrado Presidente del Comité de Alcaldes del PP por @pablocasado_ 

Hay cosas que no cambian! https://t.co/1cMzlUFIys"
⚠️,3,0.619066277,0.20635542566666668,0.4172059,"⚠️ No queremos una inmigración subvencionada a costa de la España que madruga, trabaja y paga impuestos.

#PSOE lo fomenta y #PP calla, pero #VOX lo tiene claro: Podemos frenar la invasión migratoria, por la seguridad y el bienestar de los españoles.

⛔ #StopInvasionMigratoria https://t.co/h3tEUL067n"
🎭,1,0.20138511,0.20138511,0.20138511,"🎭 Madrid es pura cultura. La pandemia ha castigado al sector y en Cs queremos seguirles ayudando  como hemos hecho en el Gobierno:

Impulsaremos un bono de 100 €/año para que los jóvenes puedan disfrutar de cines, teatros, museos, etc. #CsEsCultura
https://t.co/6oWbTZtCut"
💟,1,0.20138511,0.20138511,0.20138511,"Hoy, 10 años viviendo en paz y libertad.
Los demócratas ganamos al odio y a la sin razón de ETA.
Gracias @patxilopez, Alfredo Pérez Rubalcaba, José Luis Rodríguez Zapatero y Jesús Eguiguren.
Gracias de corazón 💟 
@psealava
@socialistavasco
@gpscongreso
#10añossinETA"
🤦🏻‍♂️,6,1.1737041259999998,0.1956173543333333,0.37950245,"Ayer la Región de Murcia registró 24 nuevos fallecidos. El sistema sanitario sigue al límite y los refuerzos a la sanidad pública no llegan. 
Pero a VOX lo único que le preocupa es cambiar la fiesta regional para celebrar la “reconquista” del año 1266. Es de estar trastornados 🤦🏻‍♂️ https://t.co/lqc1mrT2JJ"
🙋🏻‍♀️,1,0.19189163,0.19189163,0.19189163,"🙋🏻‍♀️ El feminismo debe atravesar las políticas públicas y el entorno de trabajo. 

La #IgualdadSalarial es una exigencia democrática que concentra nuestros esfuerzos y que, con cada paso, se abre un horizonte de derechos, donde las mujeres y hombres trabajan en pie de igualdad. https://t.co/4MuYCKfDLD"
♻️,1,0.19189163,0.19189163,0.19189163,"Una España mejor es una España más ecologista.

♻️ Se trata de hacer política para construir una sociedad que sea justa, que sea sostenible.

👉 Toda política que no sea respetuosa con el medio ambiente es una política sin futuro.

🔊 @Adrilastra https://t.co/mKSEMs5vFA"
🗽,1,0.19189163,0.19189163,0.19189163,"👉El objetivo de este Gobierno recaudar más para pagarse su fiesta. Atentan  contra la libertad del autónomo. 🗽

📢 SUBIDA en las COTIZACIONES en la seguridad social a los AUTÓNOMOS | Nego... https://t.co/WvsmiJ2zrl vía @YouTube"
🕒,1,0.19189163,0.19189163,0.19189163,"Mañana seguiré recorriendo el territorio para denunciar a los responsables y las políticas globalistas que permiten violaciones, asaltos,robos y ocupaciones.

📅 Mañana, Viernes.

📍Reus, Tarragona.

🕒 11:30h.

#BarriosSeguros https://t.co/WWlXSA7L65"
🤷🏻‍♀️,1,0.19189163,0.19189163,0.19189163,Los diputados de VOX gritan a coro “torero” “torero” tras intervenir ahora uno de ellos 🤷🏻‍♀️ Confunden el Congreso con una plaza de toros. ¡Ese es el nivel!
⬇,2,0.38378326,0.19189163,0.19189163,"VOX exige al Gobierno una reacción rápida y efectiva para defender a las FCSE en Cataluña.

 ""Los separatistas tienen en su agenda la expulsión de la Policía y la Guardia Civil de lo que ellos consideran que es su territorio"".

⬇ HILO ⬇ https://t.co/H4SV0JxCsY"
🌏,1,0.19189163,0.19189163,0.19189163,"Día Internacional Mujer y Niña en la Ciencia recordar el papel fundamental que tienen las mujeres en #ciencia, referentes para futuras científicas!

🙋‍♀️ Favorecer su participación de forma plena y en igualdad. Cuanto más talento, más gana el 🌏

#WomenInScienceDay
#NoMoreMatildas https://t.co/SQaW3Yawy3"
4⃣,1,0.19189163,0.19189163,0.19189163,"Se han administrado más de 3M de dosis en España.
4⃣ País en UE.
 
🔜 España recibirá el cuádruple de vacunas el próximo trimestre.
 
🎯 Alcanzar el 70% de la población vacunada antes de que acabe el verano.
 
🏛️ @sanchezcastejon 
 
#LaEspañaQueNosMerecemos https://t.co/eHYGOLVncz"
🎯,1,0.19189163,0.19189163,0.19189163,"Se han administrado más de 3M de dosis en España.
4⃣ País en UE.
 
🔜 España recibirá el cuádruple de vacunas el próximo trimestre.
 
🎯 Alcanzar el 70% de la población vacunada antes de que acabe el verano.
 
🏛️ @sanchezcastejon 
 
#LaEspañaQueNosMerecemos https://t.co/eHYGOLVncz"
🤦‍♀️,2,0.37734307,0.188671535,0.23460932,"👉Los @populares quieren hacernos creer que la corrupción de su partido es el pasado

🙋‍♀️ Hoy les he recordado la sociedad de @Albiol_XG en un paraíso fiscal

🤦‍♀️ Por cierto, Albiol fue nombrado Presidente del Comité de Alcaldes del PP por @pablocasado_ 

Hay cosas que no cambian! https://t.co/1cMzlUFIys"
🇳🇱,2,0.37570729,0.187853645,0.32468420000000003,"🇳🇱 El gobierno de Rutte, el mejor aliado de Pablo Casado en el intento de bloquear la llegada de los fondos europeos a España, dimite por xenófobo.

Qué escándalo

https://t.co/OKCcYmhkRs"
🇵🇸,2,0.37345086,0.18672543,0.23071711,"🇵🇸 Los ataques a Gaza y al pueblo palestino son una vulneración intolerable del derecho internacional.

La UE, el gobierno de España y la comunidad internacional deben actuar y aplicar las medidas ya acordadas en contra de esta masacre 👇 https://t.co/nVKHivU4hV"
🤷🏻‍♂️,4,0.72335607,0.1808390175,0.24996361,Ayuso dice que garantizará el español como lengua vehicular en Madrid y desata el cachondeo 🤷🏻‍♂️ https://t.co/jUt61LQ8rU
🎬,4,0.687519837,0.17187995925,0.47852644,"Nadie mejor que una madre extremeña para poner al sanchismo frente a sus vergüenzas 
Dentro video 
🎬
https://t.co/llTN3dKGrJ"
🤦🏼‍♂️,3,0.51136671,0.17045557,0.20138511,"Los progres se mueven rápido en el legislativo americano. Pretenden prohibir palabras tan peligrosas como “padre” o “nuera”; o pronombres como “él” o “ella” 🤦🏼‍♂️

Democrats propose ban on 'he' and 'she' and all gender-specific words in new rules for Congress https://t.co/20xs4AwWKY"
⬇️,7,1.191440732,0.17020581885714287,0.5058799,"📩 PSC 👉 Gobierno con la derecha de Cs o repetición electoral.

📩 ERC o CUP 👉 (Des)gobierno procesista con la derecha de JxCat o repetición electoral.

Si eres de izquierdas y quieres un cambio, sólo hay una papeleta. ⬇️

Habrá quien se enfade, pero es la puñetera verdad. https://t.co/DbJMMs9ros"
🏃🏻‍♂️,1,0.16919437,0.16919437,0.16919437,"Porque la vida es una carrera de fondo. 
El Carrerista, un malagueño de Marbella afincado en #Fuengirola que hizo de las carreras una pasión.

José Millán Jiménez, un atleta 🏃🏻‍♂️ eterno. https://t.co/zn7qZVEwH0"
🟧,2,0.32972025000000005,0.16486012500000002,0.19189163,"La ola de cambio se extiende por toda España. 
Los españoles están hartos de Sánchez!!

🟦 PP 30,5% (138)
🟥 PSOE 25,4% (103)
🟩 VOX 13,8% (40)
🟪 UP-ECP-EC 8,3% (17)
⬜️ MÁS PAÍS 4,1% (6)
🟧 Cs 3,3% (2)

📊@GAD3_com para @abc_es https://t.co/gqmfYqhwpf"
🧵,3,0.49443401,0.16481133666666667,0.25023085,"Echo de➖que algunos den a los profesionales de la psicología, la psiquiatría, el trabajo y la educación social el protagonismo que merecen en la compleja tela de🕷de las denuncias por violencia de género y maltrato machista contra las mujeres y la infancia. Abro hilo 🧵 👇🏻"
🥀,8,1.317689406,0.16471117575,0.23398675,"🥀 Incapaces de bajar impuestos.

🥀 Incapaces de reducir altos cargos.

🥀 Incapaces de bajar la factura de la luz.

🥀 Incapaces de pagar las ayudas.

🥀 Incapaces de bajar el precio de la vivienda.

Desgastados e incapaces. 
Basta, @F_Armengol.

#centratsenlalternativa https://t.co/fIvAqRneYk"
✍️,11,1.7589705572,0.1599064142909091,0.61499923,"💶 @sanchezcastejon quiere asfixiar a los Ayuntamientos para disimular su incompetencia: ¡no tiene vergüenza!

✍️ Ya podéis leer mi nuevo artículo en @merca2_es

👉 https://t.co/1NROTxvOPv https://t.co/C0a3hLl5ZO"
🛑,15,2.389220800000001,0.15928138666666672,0.6386644,"🛑 Brasil 🇧🇷 

Bolsonaro, hundido en su popularidad, lanza bravuconadas golpistas. 

Mientras, las mujeres indígenas se movilizan así para dejarle claro que no permitirán el saqueo de sus tierras y sus ríos.

#MarchaDasMulheresIndigenas 

https://t.co/bvDHQmutSe"
🏳️‍🌈,7,1.110845434,0.15869220485714286,0.20138511,"🏳️‍🌈 Todos los ámbitos de nuestra sociedad deben ser un ejemplo de respeto, de derechos y de igualdad de condiciones. Combatir la violencia y la discriminación hacia las personas LGTBI es un reto colectivo en el que cada paso suma.  

#DíaContraLaLGTBIfobia https://t.co/NqbICOqfm7"
3️⃣,4,0.627668915,0.15691722875,0.24993496,"1️⃣ Pacta acercar 5 etarras a la semana

2️⃣ Cede prisiones al PNV

3️⃣ Bildu negocia en secreto privilegios y condiciones especiales para los terroristas

Las maniobras de Sánchez para mantenerse en el poder se superan cada día en indecencia e inmoralidad.
https://t.co/2AQdoWeD9J"
2️⃣,4,0.627668915,0.15691722875,0.24993496,"1️⃣ Pacta acercar 5 etarras a la semana

2️⃣ Cede prisiones al PNV

3️⃣ Bildu negocia en secreto privilegios y condiciones especiales para los terroristas

Las maniobras de Sánchez para mantenerse en el poder se superan cada día en indecencia e inmoralidad.
https://t.co/2AQdoWeD9J"
1️⃣,4,0.627668915,0.15691722875,0.24993496,"1️⃣ Pacta acercar 5 etarras a la semana

2️⃣ Cede prisiones al PNV

3️⃣ Bildu negocia en secreto privilegios y condiciones especiales para los terroristas

Las maniobras de Sánchez para mantenerse en el poder se superan cada día en indecencia e inmoralidad.
https://t.co/2AQdoWeD9J"
💪🏼,6,0.934011836,0.15566863933333333,0.4697566,"El PP malvendió la sanidad valenciana a los buitres.

Nosotros la recuperamos para lo público. 💪🏼

Las mayores mentiras de los mayordomos político-mediáticos de los ricos son que ""todos son iguales"" y que ""no se pueden cambiar las cosas"". https://t.co/7yqYxt2QHZ"
🗳,11,1.6938242439999998,0.15398402218181817,0.5280414999999999,"👉Para evitar un tripartito.
👉Para cerrar la etapa negra del 'procés'.
👉Para acabar con la okupación. 
👉Para erradicar la lacra de la corrupción.
👉Para invertir más en sanidad y en educación. 
👉Para ayudar a las familias catalanas. 

Vota @CiutadansCs 🗳
#GanemosTodos14F https://t.co/Np6zxhc9OG"
❌,38,5.827431830000002,0.15335346921052637,0.7653171999999999,"🤮 Bruja, borracha, pervertido, estás mal de la cabeza… esos insultos los hemos escuchado estos días en el Congreso.

❌ No es mala educación de la ultraderecha. Es una estrategia premeditada para meter miedo.

Aquí os dejo mi artículo en @publico_es 👉 https://t.co/6pHxhkJeGv"
📷,5,0.7569795579999999,0.1513959116,0.3848043,"Reunión de @PopularesCyL con el SG @ppacocyl, @cfcarriedo y los diputados del @GPPopular.

Los PGE 2022 son nefastos para #CastillayLeón.

Sánchez es más de entregar cheques en blanco a sus socios que trabajar para que #CYL avance.

📷 los que no están, asistieron telemáticamente https://t.co/HkDqd2sJKo"
🏘️,3,0.45156334200000003,0.150521114,0.3100549,"🏘️ La #LeyDeVivienda que se llevó ayer al Consejo de Ministros es una argucia para eximir al Gobierno de su incompetencia para establecer una política de #vivienda eficaz y una mera moneda de cambio para la continuidad de Sánchez en La Moncloa.

#ComisióndeTransportes https://t.co/5dNqJzI3lE"
🔻,4,0.599812053,0.14995301325,0.25009435,"Los medios de comunicación están blanqueando al fascismo y eso es muy peligroso. 
VOX no está en el lado bueno de la historia: la xenofobia, el machismo, la apología de la dictadura no deben tener cabida en una democracia. 
Tolerancia 0 con la intolerancia 🔻 https://t.co/Qv8fFcAM9H"
🇪🇨,2,0.29298996,0.14649498,0.19189163,"🛑 🇪🇨 Enorme dignidad del campesinado y los agricultores ecuatorianos en su resistencia a al gobierno Lasso.

Mientras los combustibles se disparan y baja el precio de lo que producen, Lasso en primera línea en los Pandora Papers. Indecente.
https://t.co/rFFFtb9QW3"
🆘,2,0.287929967,0.1439649835,0.22880334,"🆘 @raquelsjimenez y @GFVara vuelven a mentirle a los extremeños‼️ 

🚄 Es imposible que en 2022 la línea de alta velocidad Madrid-Extremadura-Portugal esté ejecutada y en servicio.

La mejora de la integración de travesías que se la cuenten a los ciudadanos de Navalmoral… https://t.co/o5PKkGfbrw"
♀️,3,0.43073137800000005,0.14357712600000003,0.25023085,"♀️ Atónita escuchando a la ministra @IreneMontero que, tras más de un año sin dignarse a comparecer en la #ComisiónDeIgualdad, ha ignorado los motivos de las comparecencias solicitadas por los grupos del @Congreso_Es y se ha limitado a hacer propaganda hueca como es su costumbre. https://t.co/SGD3efgyVi"
👉🏼,15,2.1448508004,0.14299005336,0.5097423,"Las redes están muy bien para compartir contenidos y debatir pero también hay mucho NoBacunas331, BibaVOX88, PlandemiaProgre58 y HodioLasFeminazis metiendo ruido y odio.

Si tienes Telegram, únete a mi canal 👉🏼 https://t.co/utGQ4YjYMZ para no perderte nada importante.

Gracias 😊 https://t.co/rvNC29ZTN8"
🗳️,1,0.14273375,0.14273375,0.14273375,"El mejor proyecto y el mejor candidato. Un programa pensado para todos los catalanes.

Dejar atrás estos años de ruptura social y decadencia económica, para recuperar la Cataluña que mira al futuro si tú quieres.

 #UnaCataluñaMejor 
 ¡Vota a @alejandroTGN! 🗳️ https://t.co/SSzHqCbUE8"
🔌,1,0.14273375,0.14273375,0.14273375,"La luz imparable 
🔌 💸 Hoy se pagarán 265€/MWh, segundo precio de la luz más alto de la historia. Tú pagas y Sánchez se sube el sueldo.

#SánchezApagaYvete
Grupo Parlamentario Popular en el Congreso de los Diputados https://t.co/yyaeZi6M35"
🤡,1,0.1423333,0.1423333,0.1423333,"El Rey, con su padre escapado y su cuñado condenado nos dice “Los valores democráticos no nos vienen dados; su vigor demanda una defensa firme”. 🤡 https://t.co/tn5lY5mOLh"
😂,7,0.9826014789999999,0.14037163985714285,0.25015882,En ERC ya ven a Illa de president. De ahí tantos nervios y chapuzas. 😂 https://t.co/VLoejdI4Kl
😏,2,0.279601714,0.139800857,0.25012788,"El PP viene hoy al Congreso a decir que están muy preocupados con la factura de la luz. Sí, los mismos que privatizaron el sector eléctrico diciendo que bajarían los precios. Los de las puertas giratorias. Pero cuando propones limitar el precio de la luz: ¡demagogos! No falla 😏 https://t.co/jTfB5lvpDc"
📹,7,0.978049213,0.13972131614285715,0.61538047,"📹 España necesita que prioricen el Pacto de Estado contra la #ViolenciaGénero,➕recursos para las #FCSE que luchan contra esta lacra, así como una Ley contra la Trata que nunca llega.

🔜 Dejen sus guerras cainitas para ver quién es más feminista y pónganse a trabajar. #PGE2022 https://t.co/fMX0n9JUAH"
🇨🇺,6,0.8280439449999999,0.13800732416666664,0.26978138,"#PatriayVida 
Un canto a la esperanza para un pueblo que merece vivir en #libertad.
""No más mentiras...no más doctrinas.."" #CubaLibre 🇨🇺

Gracias @Yotuel007 por tu valentía, y coraje democrático.
@GdZOficial @Descemer_Bueno 
@MaykelOsorbo @CubanDefenders 
https://t.co/NO1x73jAmj https://t.co/RVMBDRz9SW"
🟥,5,0.68946306,0.137892612,0.19189163,"La ola de cambio se extiende por toda España. 
Los españoles están hartos de Sánchez!!

🟦 PP 30,5% (138)
🟥 PSOE 25,4% (103)
🟩 VOX 13,8% (40)
🟪 UP-ECP-EC 8,3% (17)
⬜️ MÁS PAÍS 4,1% (6)
🟧 Cs 3,3% (2)

📊@GAD3_com para @abc_es https://t.co/gqmfYqhwpf"
💘,1,0.13593329999999998,0.13593329999999998,0.13593329999999998,"Fundación Cerezales, Fabián y Juan Marigorta o lo que es lo mismo: 

MAGIA. 💘 https://t.co/TQNbR5KaDk"
📄,1,0.13583517,0.13583517,0.13583517,"🔴 El gobierno regional-socialista de Cantabria 🇵🇱 se está mofando de nosotros. MENUDA PANDA. 
📄 Ni respetan el protocolo ni están priorizando a los grupos de riesgo.
👎 🇵🇱 había empleado el 5,2% de las dosis recibidas en la 1ª semana y ahora #pinchar_sin_priorizar y da😟😨 https://t.co/op5ANs2Gyk"
👎,1,0.13583517,0.13583517,0.13583517,"🔴 El gobierno regional-socialista de Cantabria 🇵🇱 se está mofando de nosotros. MENUDA PANDA. 
📄 Ni respetan el protocolo ni están priorizando a los grupos de riesgo.
👎 🇵🇱 había empleado el 5,2% de las dosis recibidas en la 1ª semana y ahora #pinchar_sin_priorizar y da😟😨 https://t.co/op5ANs2Gyk"
🇵🇱,2,0.27167034,0.13583517,0.13583517,"🔴 El gobierno regional-socialista de Cantabria 🇵🇱 se está mofando de nosotros. MENUDA PANDA. 
📄 Ni respetan el protocolo ni están priorizando a los grupos de riesgo.
👎 🇵🇱 había empleado el 5,2% de las dosis recibidas en la 1ª semana y ahora #pinchar_sin_priorizar y da😟😨 https://t.co/op5ANs2Gyk"
🤦🏼‍♀️,1,0.13518694,0.13518694,0.13518694,"Harvard students push to strip conservatives of diplomas https://t.co/9BJMmEyGAi vía @YouTube

Los progres millennials de Harvard solicitan que se revoquen sus títulos a conservadores pro Trump.

Defund Harvard. 🤦🏼‍♀️ https://t.co/QnurwU82Hm"
🏠,3,0.403075227,0.13435840899999998,0.25023085,"La vivienda es sobre todo un derecho humano y un bien social, no es un privilegio ni una mercancía. Es el derecho a vivir con seguridad y dignidad.

Por eso, el Gobierno de @sanchezcastejon ha impulsado la primera #LeyDeVivienda de la democracia. 

#AvanzamosenVivienda 🏠 https://t.co/usxg6pSabL"
